ID,RADEG,DECDEG,CLASS
B176,10.8769917,40.8196944,1.0
B177,10.8771292,41.0950917,1.0
B178,10.8783,41.3545472,1.0
B179,10.8796292,41.3040667,1.0
B180,10.8822208,41.1295417,1.0
B181,10.8852333,41.4853139,1.0
B182,10.9028,41.1367111,1.0
B183,10.9039083,41.0339806,1.0
B184,10.9063125,41.6096222,1.0
B185,10.9053583,41.2454333,1.0
B186,10.9092042,41.6066583,1.0
B187,10.9109375,41.4963472,1.0
B188,10.9229042,41.40715,1.0
B189,10.9266458,41.5897833,1.0
B190,10.9307792,41.5682667,1.0
B191,10.9314125,40.7282917,4.0
B192,10.9354667,41.6241694,1.0
B193,10.9395958,41.6159667,1.0
B194,10.9383042,41.102425,1.0
B195,10.9523083,41.0410111,1.0
B196,10.9523875,40.7102389,1.0
B197,10.9570667,41.502725,1.0
B198,10.9588583,41.5312472,1.0
B199,10.9576042,40.9708056,1.0
B200,10.9600708,41.4896,1.0
B201,10.9701792,41.1660778,1.0
B202,10.9777667,41.0089917,1.0
B203,10.9826458,41.5431139,1.0
B204,10.9851167,41.3674417,1.0
B205,10.9923833,41.4105861,1.0
B206,10.9942417,41.5049917,1.0
B207,10.9977375,41.1029917,1.0
B208,11.0002792,41.3865667,1.0
B209,11.0109583,41.4240472,1.0
B210,11.0115,41.2401083,1.0
B211,11.0121875,41.3346111,1.0
B212,11.0128292,41.0822972,1.0
B213,11.0146333,41.5107361,1.0
B214,11.0164,41.4384778,1.0
B215,11.0266667,41.528775,1.0
B216,11.0365875,41.6320306,1.0
B217,11.0441625,41.3975111,1.0
B218,11.0596958,41.3220333,1.0
B219,11.0626875,40.9464917,1.0
B220,11.081125,41.509625,1.0
B221,11.0960958,41.5517611,1.0
B222,11.10545,41.2365611,1.0
B223,11.1127083,41.5769917,1.0
B224,11.1127917,41.480475,1.0
B225,11.1231667,41.3597972,1.0
B226,11.1271667,41.1830639,4.0
B227,11.1301625,40.7388694,4.0
B228,11.1383417,41.6910056,1.0
B229,11.140825,41.6412056,1.0
B230,11.1466,40.9534083,1.0
B231,11.1606167,41.4630889,1.0
B232,11.167625,41.2501167,1.0
B233,11.1754375,41.7317778,1.0
B234,11.1932292,41.4882694,1.0
B235,11.2413208,41.4899222,1.0
B236,11.2871,40.8413056,1.0
B237,11.2884792,41.37625,1.0
B238,11.3111458,41.3269167,1.0
B239,11.3149542,41.5880917,1.0
B240,11.3543333,41.1061583,1.0
B241,9.9810375,41.2519583,4.0
B242,10.0041125,41.0160028,4.0
B243,10.0073458,41.1561611,4.0
B244,10.1104,41.3098778,1.0
B245,10.1504167,41.1259,4.0
B246,10.2178208,40.8989972,1.0
B247,10.2592583,41.0087611,1.0
B248,10.2833083,40.883625,1.0
B249,10.3024292,41.0202139,1.0
B250,10.3132583,41.5660111,4.0
B251,10.4025083,41.0050778,4.0
B252,10.4136125,41.5097889,4.0
B253,10.457275,40.8833278,6.0
B254,10.46055,41.2739111,1.0
B255,10.4998625,40.8093806,1.0
B256,10.5044542,41.636425,4.0
B257,10.5136833,40.9705361,1.0
B258,10.5325583,41.1573667,2.0
B259,10.5790292,41.70415,1.0
B260,10.6383,41.5235639,1.0
B261,10.650375,41.2947222,6.0
B262,10.7085417,41.3244778,1.0
B263,10.7176292,40.7989917,6.0
B264,10.7216208,41.2706667,1.0
B265,10.758025,40.8838472,1.0
B266,10.7646958,41.6753389,1.0
B267,10.77355,40.767975,4.0
B268,10.7799667,41.1966139,1.0
B269,10.78075,41.4591611,1.0
B270,10.8225958,40.9293361,4.0
B271,10.8462,41.42395,1.0
B272,10.8562875,41.6198306,1.0
B273,10.8604792,40.8643389,4.0
B274,10.9139917,41.5217222,1.0
B275,10.9852667,40.9807222,4.0
B276,11.0112625,41.0382639,4.0
B277,11.0704708,41.2377194,1.0
B278,11.0971792,41.5844028,1.0
B279,11.11665,41.7362111,1.0
B280,11.1142833,40.8383056,4.0
B281,11.1784542,41.3357111,1.0
B282,11.18205,40.7376889,6.0
B283,11.23085,41.2834389,1.0
B284,11.2377167,40.9667472,6.0
B285,11.3543125,41.0885889,4.0
B286,11.3564833,40.9901861,6.0
B287,11.3687292,41.5012778,1.0
B288,11.4213125,41.1087417,4.0
B289,8.5870083,41.7975389,1.0
B290,8.5872792,41.4717167,1.0
B291,9.0207333,42.0359222,1.0
B292,9.0694417,40.97405,1.0
B293,9.0869375,40.8936806,1.0
B294,9.1372833,40.4148528,4.0
B295,9.1947208,40.3283639,1.0
B296,9.1953625,40.5131083,4.0
B297,9.2144667,39.6438611,4.0
B298,9.5009458,40.7321833,1.0
B299,9.5081667,40.6963806,4.0
B300,9.5777083,39.66635,4.0
B301,9.5899208,40.0603222,1.0
B302,9.6395833,41.3478583,1.0
B303,9.7105292,40.4586,1.0
B304,9.73725,41.1745583,1.0
B305,9.7455083,40.2754944,1.0
B306,9.7862792,40.5725583,1.0
B307,9.8269875,40.5494583,1.0
B308,9.8289458,40.4925611,4.0
B309,9.852525,40.2414222,1.0
B310,9.8573,41.3925389,1.0
B311,9.8905208,40.5207444,1.0
B312,9.9173958,40.9506806,1.0
B313,9.9358292,40.8819583,1.0
B314,9.9358083,40.2355306,1.0
B315,9.9521292,40.5251111,1.0
B316,9.97335,40.6942472,1.0
B317,9.9803833,41.7960889,1.0
B318,10.0036375,40.56885,1.0
B319,10.0126333,40.5660556,1.0
B320,10.0654542,41.8085167,4.0
B321,10.0639375,40.4629167,1.0
B322,10.0718583,40.651225,1.0
B323,10.0762,40.5458028,1.0
B324,10.0853208,41.6803833,1.0
B325,10.0963208,40.5130972,1.0
B326,10.0988208,41.6861833,6.0
B327,10.1004458,40.6062556,1.0
B328,10.1022042,41.6730972,1.0
B329,10.1031292,41.7899083,4.0
B330,10.1066083,41.7149111,1.0
B331,10.1089625,41.7011806,1.0
B332,10.1105792,41.6655972,6.0
B333,10.1234417,41.6738167,1.0
B335,10.1737208,40.6411556,1.0
B336,10.1983708,42.1450306,1.0
B337,10.2019875,42.2030722,1.0
B338,10.2452917,40.5966083,1.0
B339,10.2529542,39.931725,1.0
B340,10.2866417,39.6267889,4.0
B341,10.28815,40.598025,1.0
B342,10.3504583,40.6130944,1.0
B343,10.4295917,40.20625,1.0
B344,10.5123708,41.8672778,1.0
B345,10.5588417,40.293475,1.0
B346,10.5840125,40.508525,4.0
B347,10.5953833,41.9076611,1.0
B348,10.5955,41.8745722,1.0
B349,10.6005,40.628825,1.0
B350,10.6185083,40.4142,1.0
B351,10.658275,42.1918778,1.0
B352,10.6591375,42.037,1.0
B353,10.6967083,41.2608139,9.0
B354,10.6985208,42.0068694,1.0
B355,10.72035,41.9664417,6.0
B356,10.7931542,41.8420083,1.0
B357,10.8051333,40.1823306,1.0
B358,10.8244208,39.8203278,1.0
B360,10.9822167,40.02315,4.0
B361,10.9879167,40.2336806,1.0
B362,11.03905,41.6942028,6.0
B363,11.0717708,40.5597583,1.0
B364,11.0786042,39.7559861,4.0
B365,11.1518542,42.2890472,1.0
B366,11.1945292,42.0640139,1.0
B367,11.1964667,42.0921972,1.0
B368,11.1991708,41.8525167,1.0
B369,11.30045,39.8814611,4.0
B370,11.3099042,41.9613194,1.0
B371,11.3631417,41.7290806,1.0
B372,11.3889875,42.0067139,1.0
B373,11.4243833,41.7593111,1.0
B374,11.4355,41.6986278,1.0
B375,11.4398333,41.6617083,1.0
